instruction,output
Analyse : analyse temporelle : Qu'est-ce qui s'est passe hier ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qui s'est connecte en decembre 2026 ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-12-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2027-01-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Question securite : activite apres 22h cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : Des connexions apres 22h cette semaine ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : Derniere action sur ACCOUNTS c'est quoi ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Audit Oracle : tracabilite : Qui a bouge CLIENTS en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Question : Qui s'est connecte en juin 2026 ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-06-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-07-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : stats : Top 5 des plus actifs.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 5 ROWS ONLY;"
Qui a bouge SUPPLIERS en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SUPPLIERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Securite : Tout ce qui s'est passe sur VROMUALD.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='VROMUALD' ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : nuit : Connexions nocturnes avant-hier ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-2) ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : Top 3 des connexions.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 3 ROWS ONLY;"
Analyse : Qui a touche EMPLOYEES en fevrier 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-02-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-03-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui s'est connecte en fevrier 2026 ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-02-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-03-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : combien d'actions en septembre 2026 ?,"SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-09-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-10-01','YYYY-MM-DD');"
Question securite : combien de types d'actions differentes sur EMPLOYEES ?,SELECT COUNT(DISTINCT ACTION_NAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES';
Dis-moi : audit : Qui a lu EMPLOYEES ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='SELECT' AND OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC;"
Dis-moi : qui a un compte dans la base ?,"SELECT USERNAME, ACCOUNT_STATUS FROM DBA_USERS ORDER BY USERNAME;"
Audit : des comptes ont ete touches ce mois-ci ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : qui a touche EMPLOYEES en avril 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-04-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-05-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Tout ce qui s'est passe sur TRANSACTIONS.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='TRANSACTIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : quoi de neuf dans la base ? Les 20 derniers.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 20 ROWS ONLY;"
Question : Y a eu des trucs la nuit ce mois-ci ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : audit : Qui s'est connecte hier soir ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP, USERHOST FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=18 ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Quelle table a ete la plus modifiee ?,"SELECT OBJECT_NAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('INSERT','UPDATE','DELETE') GROUP BY OBJECT_NAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Rapport : audit : Qui a touche PAYROLL ? Tous les utilisateurs.,SELECT DISTINCT DBUSERNAME FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PAYROLL' ORDER BY DBUSERNAME;
Securite : BACKUP_USR a fait quoi ce mois ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='BACKUP_USR' AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : actions la nuit avant-hier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-2) ORDER BY EVENT_TIMESTAMP DESC;"
Combien d'actions sur PRODUCTS ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PRODUCTS';
Rapport : que fait ETL_USER en general ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='ETL_USER' ORDER BY EVENT_TIMESTAMP DESC;"
Question : qui a ajoute des donnees dans TRANSACTIONS ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' AND OBJECT_NAME='TRANSACTIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : audit : Qui a ete cree ce mois-ci ?,"SELECT USERNAME, CREATED FROM DBA_USERS WHERE TRUNC(CREATED,'MM')=TRUNC(SYSDATE,'MM') ORDER BY CREATED DESC;"
Audit : INVOICES a ete change ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='INVOICES' ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Y a eu des trucs sur TRANSACTIONS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='TRANSACTIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Est-ce que APP_USER a acces a EMPLOYEES ?,"SELECT ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='APP_USER' AND OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : securite : Qui a acces a TRANSACTIONS ?,SELECT DISTINCT DBUSERNAME FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='TRANSACTIONS' ORDER BY DBUSERNAME;
Bilan : Classe les utilisateurs par activite.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC;"
Analyse : Qui a fait le plus de connexions ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Rapport : question : admin : Des comptes ont ete touches hier ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : le plus de connexions c'est qui ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Analyse : Combien de personnes ont acces a la base ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Question : Qui a touche JOURNAL ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='JOURNAL' ORDER BY EVENT_TIMESTAMP DESC;"
Qui a bouge CLIENTS en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Analyse : securite : qui a lu EMPLOYEES ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='SELECT' AND OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Qui a touche ACCOUNTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Quoi de neuf dans la base ? Les 20 derniers.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 20 ROWS ONLY;"
Question : Combien d'actions a AUDIT_USR effectuees ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='AUDIT_USR';
Audit : ORDERS a ete touche par qui ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ORDERS' ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a acces a CLIENTS ?,SELECT DISTINCT DBUSERNAME FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS' ORDER BY DBUSERNAME;
Question : Des activites apres 22h cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : combien d'actions sur ACCOUNTS ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ACCOUNTS';
Question : Combien d'actions ce mois ?,"SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM');"
Question : Qui s'est deconnecte ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGOFF' ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : tracabilite : Derniere action sur CLIENTS c'est quoi ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Question : Des comptes touches cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : Qui a touche JOURNAL en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='JOURNAL' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Securite : Activite apres 22h ce mois ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Qui a touche JOURNAL ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='JOURNAL' ORDER BY EVENT_TIMESTAMP DESC;"
Dis-moi : question : SYSTEM a fait des trucs bizarres ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='SYSTEM' ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : qui a bouge SUPPLIERS en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SUPPLIERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Question : VROMUALD a fait des trucs bizarres ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='VROMUALD' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Y a eu des trucs hier ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Il y a des comptes bloques ?,SELECT USERNAME FROM DBA_USERS WHERE ACCOUNT_STATUS='LOCKED' ORDER BY USERNAME;
Audit Oracle : activite avant 6h hier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Dis-moi : oracle : dDL : Des comptes ont ete touches hier ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Audit : qui s'est connecte ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP, USERHOST FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' ORDER BY EVENT_TIMESTAMP DESC;"
Securite : qui a retire des droits ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='REVOKE' ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : Qui s'est le plus connecte ce mois ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Qui a accede a EMPLOYEES ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND ACTION_NAME IN ('SELECT','INSERT','UPDATE','DELETE') GROUP BY DBUSERNAME ORDER BY NB DESC;"
Analyse : C'est qui le plus actif ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Question : Quelqu'un a touche SESSIONS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SESSIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Question : c'est quoi les actions faites sur PAYROLL ?,SELECT DISTINCT ACTION_NAME FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PAYROLL' ORDER BY ACTION_NAME;
Analyse : Montre les 10 dernieres actions.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 10 ROWS ONLY;"
Analyse : stats : Combien d'actions differentes sur CLIENTS ?,SELECT COUNT(DISTINCT ACTION_NAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS';
Oracle : combien de personnes ont acces a la base ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Audit : Combien d'actions ont concerne PAYMENTS ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PAYMENTS';
Question securite : bilan : c'est combien d'utilisateurs en tout ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Tout ce qui s'est passe sur JOURNAL.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='JOURNAL' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : derniere personne sur EMPLOYEES ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Oracle : combien d'actions aujourd'hui ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE);
Audit : Qui a donne des droits ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='GRANT' ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : tracabilite : Derniere action sur SUPPLIERS c'est quoi ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SUPPLIERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Analyse : Tout ce qui s'est passe sur BUDGET.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET' ORDER BY EVENT_TIMESTAMP DESC;"
Qui a fait le plus de connexions ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Question : C'est combien d'utilisateurs en tout ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Securite : qui a change des donnees dans ACCOUNTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='UPDATE' AND OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Y a eu des trucs sur VROMUALD ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='VROMUALD' ORDER BY EVENT_TIMESTAMP DESC;"
"Audit : sQL Oracle : SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY",L'utilisateur le plus actif est X avec Y actions.
Oracle : Des comptes ont ete touches ce mois ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : quels utilisateurs distincts cette semaine ?,SELECT COUNT(DISTINCT DBUSERNAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7);
Oracle : traduis ce SQL Oracle en francais : SELECT COUNT(*) AS NB FROM DBA_USERS,Il y a X utilisateurs dans la base.
Audit : Qui s'est connecte en mai 2026 ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-05-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-06-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : securite : c'est qui le plus actif ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Audit : horaire : Activite apres 22h cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Derniere action sur SUPPLIERS c'est quoi ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SUPPLIERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Verifie : c'est qui le dernier a avoir touche ORDERS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ORDERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Bilan : combien de personnes ont acces a la base ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Securite : log : Y a eu des suppressions de donnees ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='DELETE' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Quels utilisateurs ont un compte Oracle ?,"SELECT USERNAME, ACCOUNT_STATUS FROM DBA_USERS ORDER BY USERNAME;"
Rapport : bilan : analyse temporelle : Qui s'est connecte entre minuit et 6h ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Qui a change des donnees dans ACCOUNTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='UPDATE' AND OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC;"
Verifie : question : Combien de personnes ont acces a la base ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
