instruction,output
Bilan : Dis-moi qui travaille le plus sur la base.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Oracle : Qui s'est loge tres tot cette semaine ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Qui a bouge EMPLOYEES en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Question : analyse temporelle : Combien d'actions aujourd'hui ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE);
Audit : analyse temporelle : Qui s'est connecte la semaine derniere ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TRUNC(SYSDATE)-14 AND TRUNC(EVENT_TIMESTAMP) < TRUNC(SYSDATE)-7 ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a acces a BUDGET ?,SELECT DISTINCT DBUSERNAME FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET' ORDER BY DBUSERNAME;
Activite avant 6h cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a ete cree ce mois-ci ?,"SELECT USERNAME, CREATED FROM DBA_USERS WHERE TRUNC(CREATED,'MM')=TRUNC(SYSDATE,'MM') ORDER BY CREATED DESC;"
Analyse : Les 5 dernieres choses qui se sont passees.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 5 ROWS ONLY;"
Verifie : y en a combien des comptes Oracle ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Securite : audit Oracle : Y a eu de l'activite la nuit cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : admin : Quels changements sur les comptes ce mois ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Dis-moi : bilan : stats : Dis-moi qui travaille le plus sur la base.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Securite : Tout ce qui s'est passe sur BUDGET.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qu'est-ce qui s'est passe aujourd'hui ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE) ORDER BY EVENT_TIMESTAMP DESC;"
Qui a touche EMPLOYEES en juin 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-06-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-07-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a change des donnees dans ACCOUNTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='UPDATE' AND OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : qui a insere des donnees ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qu'est-ce qui s'est passe cette semaine ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qui a change des informations ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='UPDATE' ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Quels types d'actions existent dans la base ?,"SELECT DISTINCT ACTION_NAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY ACTION_NAME ORDER BY NB DESC;"
Question : Qui s'est connecte ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP, USERHOST FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' ORDER BY EVENT_TIMESTAMP DESC;"
Verifie : des trucs sensibles cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP TABLE','DROP USER','ALTER TABLE','ALTER USER','CREATE USER','GRANT','REVOKE') AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Question : admin : Des comptes ont ete touches ce mois-ci ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : qui a touche EMPLOYEES en avril 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-04-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-05-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qui a modifie des donnees ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='UPDATE' ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : la derniere chose enregistree.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Rapport : Connexions entre minuit et 6h ce mois ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qui a touche CONTRACTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CONTRACTS' ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Combien d'utilisateurs existent dans la base Oracle ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Bilan : stats : Quels utilisateurs distincts cette semaine ?,SELECT COUNT(DISTINCT DBUSERNAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7);
Connexions entre minuit et 6h hier ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : La derniere personne sur EMPLOYEES ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Analyse : Qui a efface des lignes dans ORDERS ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='DELETE' AND OBJECT_NAME='ORDERS' ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : Qui a touche EMPLOYEES entre le 1er janvier 2026 et le 31 janvier 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) BETWEEN TO_DATE('2026-01-01','YYYY-MM-DD') AND TO_DATE('2026-01-31','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Qui a touche SESSIONS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SESSIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Rapport : y en a combien des comptes Oracle ?,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
C'est qui le plus actif ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Question : qui a fait le plus de connexions ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Analyse : combien d'actions sur VROMUALD ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='VROMUALD';
Analyse : Qui s'est connecte en juillet 2026 ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-07-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-08-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Quels types d'actions existent dans la base ?,"SELECT DISTINCT ACTION_NAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY ACTION_NAME ORDER BY NB DESC;"
Question : Qui a touche EMPLOYEES hier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Des actions sur USERS hier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='USERS' AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : y a eu des trucs la nuit ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE (TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 OR TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<=5) ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : Dis-moi qui travaille le plus sur la base.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Verifie : nuit : Connexions apres 22h cette semaine ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : la derniere personne sur TRANSACTIONS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='TRANSACTIONS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Rapport : Des comptes touches hier ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui fait le plus de choses ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Audit : Combien de tables differentes ont ete touchees ?,SELECT COUNT(DISTINCT OBJECT_NAME) AS NB FROM ORACLE_AUDIT_TRAIL;
Question : tracabilite : La derniere personne sur JOURNAL ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='JOURNAL' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Audit : Qui a bouge EMPLOYEES en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Audit : Montre-moi les dernieres activites.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 10 ROWS ONLY;"
"Question : sQL Oracle : SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM')",Des modifications de comptes ont ete effectuees ce mois-ci.
Verifie : question : Les 5 derniers a s'etre connectes.,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 5 ROWS ONLY;"
Question : Le nombre de comptes Oracle s'il te plait.,SELECT COUNT(*) AS NB_UTILISATEURS FROM DBA_USERS;
Question : SYS a fait des trucs bizarres ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='SYS' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Des changements sur PAYROLL cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PAYROLL' AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : Qui a bouge EMPLOYEES en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Securite : Qui a donne des droits ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='GRANT' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : nuit : Connexions entre minuit et 6h ce mois ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Question : Quelqu'un a touche INVOICES ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='INVOICES' ORDER BY EVENT_TIMESTAMP DESC;"
"Rapport : sQL Oracle : SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC",Des connexions ont ete enregistrees entre minuit et 6h cette semaine.
Rapport : Qui s'est connecte entre minuit et 6h ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : securite : dDL : Des comptes ont ete touches ce mois-ci ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP USER','ALTER USER','CREATE USER') AND TRUNC(EVENT_TIMESTAMP,'MM')=TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : dDL : On a supprime des tables ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='DROP TABLE' ORDER BY EVENT_TIMESTAMP DESC;"
Question securite : audit : Tout ce qui s'est passe sur BUDGET.,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Montre les 10 dernieres actions.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 10 ROWS ONLY;"
Question : Y a eu des trucs sur SUPPLIERS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='SUPPLIERS' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Montre-moi tous les comptes.,"SELECT USERNAME, ACCOUNT_STATUS FROM DBA_USERS ORDER BY USERNAME;"
Audit : dDL : Qui a modifie des comptes ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='ALTER USER' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Les 5 derniers a s'etre connectes.,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 5 ROWS ONLY;"
Verifie : oracle : qui a insere des donnees ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' ORDER BY EVENT_TIMESTAMP DESC;"
Combien d'actions sur BUDGET ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET';
Combine : Des trucs bizarres la nuit cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Verifie : temporel : Activite apres 22h cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qu'est-ce qui s'est passe en avril 2026 ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-04-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-05-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Question : Montre-moi les dernieres activites.,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 10 ROWS ONLY;"
Question : Des connexions apres 22h cette semaine ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a un compte dans la base ?,"SELECT USERNAME, ACCOUNT_STATUS FROM DBA_USERS ORDER BY USERNAME;"
On a cree des tables ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='CREATE TABLE' ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : Y a eu des trucs aujourd'hui ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : on a supprime des tables ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='DROP TABLE' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Combien d'utilisateurs differents ont bouge dans la base ?,SELECT COUNT(DISTINCT DBUSERNAME) AS NB FROM ORACLE_AUDIT_TRAIL;
Securite : Qui a donne des droits ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='GRANT' ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : audit : Qui a ajoute des choses cette semaine ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Combien d'actions en juillet 2026 ?,"SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-07-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-08-01','YYYY-MM-DD');"
Audit : Classe les utilisateurs par activite.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC;"
Audit : Qui a consulte PAYROLL ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='SELECT' AND OBJECT_NAME='PAYROLL' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : qui a regarde CLIENTS ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='SELECT' AND OBJECT_NAME='CLIENTS' ORDER BY EVENT_TIMESTAMP DESC;"
Verifie : des trucs sensibles cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME IN ('DROP TABLE','DROP USER','ALTER TABLE','ALTER USER','CREATE USER','GRANT','REVOKE') AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Qui a ajoute des informations ?,"SELECT DBUSERNAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' ORDER BY EVENT_TIMESTAMP DESC;"
Verifie : stats : Combien d'actions differentes sur CLIENTS ?,SELECT COUNT(DISTINCT ACTION_NAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='CLIENTS';
Top 3 des connexions.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 3 ROWS ONLY;"
SYSTEM a fait quoi cette semaine ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='SYSTEM' AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Combien de types d'actions differentes sur EMPLOYEES ?,SELECT COUNT(DISTINCT ACTION_NAME) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES';
Audit : tracabilite : C'est qui le dernier a avoir touche PRODUCTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PRODUCTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Dis-moi : oracle : traduis ce SQL Oracle en francais : SELECT COUNT(*) AS NB FROM DBA_USERS,Il y a X utilisateurs dans la base.
